mae,rmse,mape,r2,company,split,model
3.491078184343846,4.424809942351385,0.0475253761416895,-0.948776949634302,"Meta Platforms, Inc.",0,ARIMA
1.3770722932157085,1.716075460493343,0.010669898519678,0.1064070834963233,"Meta Platforms, Inc.",1,ARIMA
4.659441966583367,6.222548906916546,0.0314075594571944,-0.2656904501999955,"Meta Platforms, Inc.",2,ARIMA
8.632489917831213,10.013487129436486,0.0311724745575317,-3.792312779028789,"Meta Platforms, Inc.",3,ARIMA
13.889401829680628,19.240325260979706,0.0862687455756593,-1.0467520514304995,"Meta Platforms, Inc.",4,ARIMA
0.3896791383399293,0.4946350262071735,0.0127692368643094,-1.0850133722301187,Microsoft Corporation,0,ARIMA
0.8127664927113656,0.955365833482805,0.017632936784366,-2.2095107471536197,Microsoft Corporation,1,ARIMA
1.583938347764996,1.6895381634827429,0.0218209049115286,-9.59949428301566,Microsoft Corporation,2,ARIMA
3.637553088701148,5.155577474483578,0.0202625935192015,-0.0848441478286388,Microsoft Corporation,3,ARIMA
14.359999478019455,16.99801252452989,0.0551367959104036,-3.14454638102689,Microsoft Corporation,4,ARIMA
0.0086487411920738,0.0101508704791283,0.0262195160692562,-0.0052471735571557,NVIDIA Corporation,0,ARIMA
0.0144609566515234,0.0158572553458889,0.0290393612581682,-3.6520377967854394,NVIDIA Corporation,1,ARIMA
0.1097663342223576,0.1189752813798982,0.0267396312798886,-6.0740217788235755,NVIDIA Corporation,2,ARIMA
0.6823184890718804,0.8177077374292102,0.0925316509349572,-1.742364045146227,NVIDIA Corporation,3,ARIMA
1.760406038621508,2.187390083392671,0.121797283272651,-1.1451624210751277,NVIDIA Corporation,4,ARIMA
0.0298326391536704,0.0367240752630204,0.0130262631174254,-0.1018445293496652,"Tesla, Inc.",0,ARIMA
0.1494291917264302,0.1787755891868723,0.0089767914628177,0.0426338578626482,"Tesla, Inc.",1,ARIMA
1.7954207554238102,1.8447052236228028,0.0881664341893365,-18.50509768239436,"Tesla, Inc.",2,ARIMA
1.9670986188075872,2.3848062196384636,0.0390536775930129,-0.0550356888601957,"Tesla, Inc.",3,ARIMA
24.442574911598037,30.26726132916137,0.1009773594917993,-1.1732690647416564,"Tesla, Inc.",4,ARIMA
0.3823262108032796,0.4161335642690071,0.0242676904053919,-3.4148262112795074,Alphabet Inc.,0,XGBoost
0.3952200519602435,0.3974057348728192,0.0250885409735743,-63.72595004500221,Alphabet Inc.,0,XGBoost
0.137652654500788,0.169602057669202,0.0086876171886171,-1.772249225677255,Alphabet Inc.,0,XGBoost
0.3782674317376646,0.4394981497077065,0.0237907412773141,-9.812730832763991,Alphabet Inc.,0,XGBoost
0.387727932375644,0.4648323833758517,0.0243165626609124,-10.71741565265042,Alphabet Inc.,0,XGBoost
0.3289112277140734,0.3623194441796018,0.0206038937661015,-6.678718976989663,Alphabet Inc.,0,XGBoost
0.4954360013285438,0.5430776148763566,0.0309987143306197,-584.1851106741665,Alphabet Inc.,0,XGBoost
0.2750923588613236,0.3264130789913499,0.0172141017931799,-241.1488594013806,Alphabet Inc.,0,XGBoost
0.6097549865364442,0.6300980719830289,0.0378392382494534,-10.864199746495569,Alphabet Inc.,0,XGBoost
0.2870013949841702,0.3175249538372551,0.0175958480699297,-0.3164903414466624,Alphabet Inc.,0,XGBoost
