horizon,company,model,calibration,margin,score,acc_test,f1_macro_test,operable_share,operable_accuracy,operable_f1,dir_acc,dir_f1,dir_acc_operable,high_vol_dir_acc_operable,low_vol_dir_acc_operable,high_vol_dir_f1,low_vol_dir_f1,high_vol_coverage,low_vol_coverage
3,"Meta Platforms, Inc.",tcn,raw,0.04,0.4025377818010575,0.3770764119601329,0.3294341554993214,0.5996677740863787,0.19390581717451524,0.19071817416935513,0.319634703196347,0.3953013278855976,0.5185185185185185,0.6585365853658537,0.4574468085106383,0.3630952380952381,0.399822695035461,0.37209302325581395,0.8272425249169435
3,"Meta Platforms, Inc.",tcn,raw,0.06,0.4026721135068749,0.3787375415282392,0.33060054954791795,0.5946843853820598,0.19553072625698323,0.19264312922849505,0.319634703196347,0.3973911920444272,0.5263157894736842,0.6585365853658537,0.4673913043478261,0.3630952380952381,0.40335376848178867,0.3687707641196013,0.8205980066445183
3,"Meta Platforms, Inc.",tcn,raw,0.08,0.40088063851622713,0.38372093023255816,0.3302746859915644,0.5764119601328903,0.1930835734870317,0.19080911805403833,0.3059360730593607,0.38583200425305686,0.5234375,0.65,0.4659090909090909,0.35391566265060237,0.3914913510986442,0.3588039867109635,0.7940199335548173
3,"Meta Platforms, Inc.",tcn,raw,0.1,0.4010196947855777,0.38704318936877075,0.331452891448994,0.5681063122923588,0.19298245614035087,0.19145299145299144,0.3013698630136986,0.3824359749949586,0.5238095238095238,0.65,0.46511627906976744,0.35391566265060237,0.38451982799808887,0.3554817275747508,0.7807308970099668
3,"Meta Platforms, Inc.",tcn,raw,0.12,0.4013174832869693,0.3920265780730897,0.3330279274865262,0.5564784053156147,0.19402985074626866,0.19232783451165225,0.2968036529680365,0.3797208538587849,0.5284552845528455,0.6666666666666666,0.4642857142857143,0.3561883899233297,0.3793639988330254,0.34551495016611294,0.7674418604651163
3,"Meta Platforms, Inc.",tcn,raw,0.14,0.403130246236582,0.39867109634551495,0.33589870529245164,0.5465116279069767,0.1945288753799392,0.19233410073104729,0.2922374429223744,0.37510322047894307,0.5245901639344263,0.6578947368421053,0.4642857142857143,0.3467849223946785,0.3793639988330254,0.33554817275747506,0.7574750830564784
3,"Meta Platforms, Inc.",tcn,raw,0.16,0.40180024887825894,0.4003322259136213,0.33589597103285646,0.5365448504983389,0.19504643962848298,0.19404560810810811,0.2876712328767123,0.3737053477066159,0.5338983050847458,0.6666666666666666,0.47560975609756095,0.3395061728395061,0.3831349206349206,0.3289036544850498,0.7441860465116279
3,"Meta Platforms, Inc.",tcn,raw,0.18,0.40119097774414114,0.4019933554817276,0.3352033579816151,0.53156146179402,0.19375,0.19250161603102778,0.2831050228310502,0.3687400318979266,0.5299145299145299,0.6571428571428571,0.47560975609756095,0.3230840903796879,0.3831349206349206,0.31893687707641194,0.7441860465116279
3,"Meta Platforms, Inc.",tcn,raw,0.2,0.4003896490912864,0.40365448504983387,0.3348611659175847,0.5249169435215947,0.1930379746835443,0.1921473296500921,0.2785388127853881,0.36510668818361125,0.5304347826086957,0.6470588235294118,0.48148148148148145,0.31320754716981136,0.38513242375601925,0.3122923588039867,0.7375415282392026
3,"Meta Platforms, Inc.",ensemble,raw,0.0,0.4079526825184759,0.521594684385382,0.34961592556529264,0.2973421926910299,0.19553072625698323,0.2005280810675801,0.1598173515981735,0.2380952380952381,0.4666666666666667,0.5333333333333333,0.45,0.12468030690537084,0.30317082341145507,0.10299003322259136,0.49169435215946844
3,"Meta Platforms, Inc.",ensemble,raw,0.02,0.41118404333842606,0.5514950166112956,0.3535415036949024,0.24584717607973422,0.21621621621621623,0.21072718598786885,0.1461187214611872,0.22576005554728962,0.49230769230769234,0.6153846153846154,0.46153846153846156,0.12669983416252073,0.28792057363485934,0.08305647840531562,0.40863787375415284
3,"Meta Platforms, Inc.",ensemble,raw,0.04,0.40526717877866886,0.5681063122923588,0.34539386056793453,0.19933554817275748,0.21666666666666667,0.21486186731195808,0.1187214611872146,0.19251800119105625,0.49056603773584906,0.6,0.46511627906976744,0.10034722222222223,0.25342039800995025,0.05647840531561462,0.34219269102990035
3,"Meta Platforms, Inc.",ensemble,raw,0.06,0.39741115558355383,0.5813953488372093,0.33572057998878474,0.15282392026578073,0.22826086956521738,0.2344226579520697,0.0958904109589041,0.164900742905858,0.5526315789473685,0.625,0.5333333333333333,0.08673835125448029,0.21958121109224674,0.046511627906976744,0.2591362126245847
3,"Meta Platforms, Inc.",ensemble,raw,0.08,0.390753914843076,0.5963455149501661,0.3240608668419092,0.11295681063122924,0.23529411764705882,0.2479313036690086,0.0730593607305936,0.12911108175934488,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.07140255009107468,0.16681071737251513,0.03322259136212625,0.19269102990033224
